TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;543227811468;;5715793087743
M;543227811469;;5715793087750
M;543227811473;;5715793088009
M;543227811470;;5715793087767
M;543227811471;;5715793087989
M;543227811472;;5715793087996
M;543227811474;;5715793088016
M;543227811475;;5715793088023
M;543227811479;;5715793085138
M;543227811477;;5715793085114
M;543227811476;;5715793088030
M;543227811478;;5715793085121
M;543227811480;;5715793085145
M;543227811484;;5715793069565
M;543227811481;;5715793085152
M;543227811482;;5715793085169
M;543227811483;;5715793085176
M;543227811485;;5715793069572
M;543227811486;;5715793069589
M;543227811487;;5715793069596
M;543227811488;;5715793069602
M;543227811489;;5715793069619
M;543227811493;;5715793071018
M;543227811491;;5715793070998
M;543227811490;;5715793069626
M;543227811492;;5715793071001
M;543227811494;;5715793071025
M;543227811495;;5715793071032
M;543227811496;;5715793071049
M;543227811497;;5715793071056
M;543227811498;;5715793085534
M;543227811499;;5715793085541
M;543227811502;;5715793085572
M;543227811503;;5715793085589
M;543227811500;;5715793085558
M;543227811501;;5715793085565
M;543227811504;;5715793085596
M;543227811505;;5715793071513
M;543227811506;;5715793071520
M;543227811507;;5715793071537
M;543227811508;;5715793071544
M;543227811512;;5715793071643
M;543227811509;;5715793071551
M;543227811510;;5715793071568
M;543227811511;;5715793071575
M;543227811513;;5715793071650
M;543227811514;;5715793071667
M;543227811517;;5715793071698
M;543227811518;;5715793071704
M;543227811515;;5715793071674
M;543227811516;;5715793071681
M;389726781534;;8400004525431
M;389726781510;;8400004301738
M;389726781538;;8400004525479
M;389726781512;;8400004301752
M;389726781511;;8400004301745
M;389726781513;;8400004301769
M;389726781514;;8400004301776
M;389726781515;;8400004301783
M;389726781516;;8400004301790
M;389726781517;;8400004301806
M;389726781518;;8400004301813
M;389726781519;;8400004301820
M;389726781520;;8400004301837
M;389726781521;;8400004301844
M;389726781522;;8400004301851
M;389726781523;;8400004525325
M;389726781524;;8400004525332
M;389726781525;;8400004525349
M;389726781526;;8400004525356
M;389726781527;;8400004525363
M;389726781528;;8400004525370
M;389726781529;;8400004525387
M;389726781530;;8400004525394
M;389726781531;;8400004525400
M;389726781532;;8400004525417
M;389726781533;;8400004525424
M;389726781535;;8400004525448
M;389726781536;;8400004525455
M;389726781537;;8400004525462
M;389726781563;;8400004805038
M;389726781539;;8400004769163
M;389726781540;;8400004769170
M;389726781541;;8400004769187
M;389726781542;;8400004769194
M;389726781543;;8400004769200
M;389726781544;;8400004769217
M;389726781545;;8400004769224
M;389726781546;;8400004769231
M;389726781547;;8400004769248
M;389726781548;;8400004771685
M;389726781549;;8400004771692
M;389726781550;;8400004771708
M;389726781551;;8400004771715
M;389726781552;;8400004771722
M;389726781553;;8400004771739
M;389726781554;;8400004771746
M;389726781555;;8400004771753
M;389726781556;;8400004771760
M;389726781557;;8400004804970
M;389726781558;;8400004804987
M;389726781559;;8400004804994
M;389726781560;;8400004805007
M;389726781561;;8400004805014
M;389726781562;;8400004805021
M;389726781564;;8400004805045
M;389726781565;;8400004805052
M;031427532387;;8059552922300
M;389726781566;;8400004805069
