TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FAMILLE;Power Meters - Spare Parts;Power Meters - Spare Parts;RAYON;wolfis
FAMILLE;Preloved;Preloved;RAYON;wolfis
FAMILLE;Pressure Washer;Pressure Washer;RAYON;wolfis
FAMILLE;Product Care;Product Care;RAYON;wolfis
FAMILLE;Protection;Protection;RAYON;wolfis
FAMILLE;Pulley;Pulley;RAYON;wolfis
FAMILLE;Pulley Wheels;Pulley Wheels;RAYON;wolfis
FAMILLE;Pump - Replacement Parts;Pump - Replacement Parts;RAYON;wolfis
FAMILLE;Puncture Repair Kit;Puncture Repair Kit;RAYON;wolfis
FAMILLE;Quick Release;Quick Release;RAYON;wolfis
FAMILLE;Quick Release Axle;Quick Release Axle;RAYON;wolfis
FAMILLE;Quick Release Lever;Quick Release Lever;RAYON;wolfis
FAMILLE;Race Bag;Race Bag;RAYON;wolfis
FAMILLE;Racing -  Accessories;Racing -  Accessories;RAYON;wolfis
FAMILLE;Racing - Accessories;Racing - Accessories;RAYON;wolfis
FAMILLE;Radlabor;Radlabor;RAYON;wolfis
FAMILLE;Rear Derailleur;Rear Derailleur;RAYON;wolfis
FAMILLE;Rear Door Mounted Carriers;Rear Door Mounted Carriers;RAYON;wolfis
FAMILLE;Rear Light;Rear Light;RAYON;wolfis
FAMILLE;Rear Shock Replacement Part;Rear Shock Replacement Part;RAYON;wolfis
FAMILLE;Rear Shocks;Rear Shocks;RAYON;wolfis
FAMILLE;Rear Shocks - Accessories;Rear Shocks - Accessories;RAYON;wolfis
FAMILLE;Rear Shocks - Service Kit;Rear Shocks - Service Kit;RAYON;wolfis
FAMILLE;Recovery;Recovery;RAYON;wolfis
FAMILLE;Recovery Tool;Recovery Tool;RAYON;wolfis
FAMILLE;Rental Bag;Rental Bag;RAYON;wolfis
FAMILLE;Rental Bike;Rental Bike;RAYON;wolfis
FAMILLE;Rental Helmet;Rental Helmet;RAYON;wolfis
